"index","order id","date","status","fulfilment","sales channel","ship-service-level","style","sku","category","size","asin","courier status","qty","currency","amount","ship-city","ship-state","ship-postal-code","ship-country","promotion-ids","b2b","fulfilled-by","unnamed: 22"
"0","405-8078784-5731545","04-30-22","Cancelled","Merchant","Amazon.in","Standard","SET389","SET389-KR-NP-S","Set","S","B09KXVBD7Z","","0","INR","647.62","MUMBAI","MAHARASHTRA","400081.0","IN","","false","Easy Ship",""
"1","171-9198151-1101146","04-30-22","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3781","JNE3781-KR-XXXL","kurta","3XL","B09K3WFS32","Shipped","1","INR","406.0","BENGALURU","KARNATAKA","560085.0","IN","""Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC",,"Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2","Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ"
"2","404-0687676-7273146","04-30-22","Shipped","Amazon","Amazon.in","Expedited","JNE3371","JNE3371-KR-XL","kurta","XL","B07WV4JV4D","Shipped","1","INR","329.0","NAVI MUMBAI","MAHARASHTRA","410210.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","true","",""
"3","403-9615377-8133951","04-30-22","Cancelled","Merchant","Amazon.in","Standard","J0341","J0341-DR-L","Western Dress","L","B099NRCT7B","","0","INR","753.33","PUDUCHERRY","PUDUCHERRY","605008.0","IN","","false","Easy Ship",""
"4","407-1069790-7240320","04-30-22","Shipped","Amazon","Amazon.in","Expedited","JNE3671","JNE3671-TU-XXXL","Top","3XL","B098714BZP","Shipped","1","INR","574.0","CHENNAI","TAMIL NADU","600073.0","IN","","false","",""
"5","404-1490984-4578765","04-30-22","Shipped","Amazon","Amazon.in","Expedited","SET264","SET264-KR-NP-XL","Set","XL","B08YN7XDSG","Shipped","1","INR","824.0","GHAZIABAD","UTTAR PRADESH","201102.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","false","",""
"6","408-5748499-6859555","04-30-22","Shipped","Amazon","Amazon.in","Expedited","J0095","J0095-SET-L","Set","L","B08CMHNWBN","Shipped","1","INR","653.0","CHANDIGARH","CHANDIGARH","160036.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","false","",""
"7","406-7807733-3785945","04-30-22","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3405","JNE3405-KR-S","kurta","S","B081WX4G4Q","Shipped","1","INR","399.0","HYDERABAD","TELANGANA","500032.0","IN","""Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC",,"Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2","Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ"
"8","407-5443024-5233168","04-30-22","Cancelled","Amazon","Amazon.in","Expedited","SET200","SET200-KR-NP-A-XXXL","Set","3XL","B08L91ZZXN","Cancelled","0","",,"HYDERABAD","TELANGANA","500008.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","false","",""
"9","402-4393761-0311520","04-30-22","Shipped","Amazon","Amazon.in","Expedited","JNE3461","JNE3461-KR-XXL","kurta","XXL","B08B3XF5MH","Shipped","1","INR","363.0","Chennai","TAMIL NADU","600041.0","IN","","false","",""
